date,low,open,high,close,diff,mean
2021-01-21,25.3,26.42,26.68,25.98,-0.016654049962149933,26.200000000000003
2021-01-22,25.82,25.85,32.65,32.58,0.26034816247582193,29.215
2021-01-25,29.56,34.46,39.58,36.23,0.051363900174114796,35.345
2021-01-26,34.32,35.14,36.87,35.37,0.006545247581104066,35.254999999999995
2021-01-27,32.25,32.97,45,39,0.18289353958143773,35.985
2021-01-28,33.1,39.54,42,35.66,-0.09812847749114827,37.599999999999994
2021-01-29,34.66,36.61,38.01,35.18,-0.03906036602021305,35.894999999999996
2021-02-01,32.58,35.33,35.6199,33.96,-0.03877724313614485,34.644999999999996
2021-02-02,30.5,34.1,34.2,31.02,-0.09032258064516134,32.56
2021-02-03,31.38,32.39,32.95,31.76,-0.019450447669033623,32.075
2021-02-04,31.05,32.58,33.18,32.05,-0.016267648864333982,32.315
2021-02-05,31.75,32.61,35.2,34.05,0.04415823367065311,33.33
2021-02-08,35.89,37.22,39.22,36.05,-0.0314347125201505,36.635
2021-02-09,36.13,36.9,38.255,38.17,0.03441734417344182,37.535
2021-02-10,35,38.15,38.24,35.7,-0.06422018348623842,36.925
2021-02-11,32.61,35.79,35.98,33.11,-0.07488125174629784,34.45
2021-02-12,31.34,33.36,33.65,31.91,-0.04346522781774578,32.635
2021-02-16,27.3,30.02,30.44,27.84,-0.07261825449700199,28.93
2021-02-17,27,27.99,29.73,27.08,-0.03251161128974635,27.534999999999997
2021-02-18,24.5,24.99,26.31,25.17,0.007202881152461115,25.08
2021-02-19,26.9,27.02,29.96,29,0.07327905255366397,28.009999999999998
2021-02-22,27.536,29.96,30.19,28,-0.06542056074766357,28.98
2021-02-23,23.9,25.8,27.46,26.75,0.03682170542635656,26.275
2021-02-24,25.75,26.71,27.23,26.39,-0.011980531636091361,26.55
2021-02-25,23.15,25.82,26.44,23.96,-0.07203718048024785,24.89
2021-02-26,22.7,24.2,24.5,23.9,-0.012396694214876063,24.049999999999997
2021-03-01,24.62,25.19,25.9,24.81,-0.015085351329892915,25
2021-03-02,24.26,25,25.59,24.48,-0.02079999999999998,24.740000000000002
2021-03-03,23.43,24.99,25.1678,23.59,-0.05602240896358538,24.29
2021-03-04,23.05,24.85,25.56,24.73,-0.00482897384305839,24.79
2021-03-05,20.18,24.36,24.68,23.95,-0.01683087027914615,24.155
2021-03-08,22.4,23.77,24.58,22.52,-0.05258729490954985,23.145
